n,threshold,hr,category,ate,lower_ci,upper_ci
5173,15,3,is_iv,-38.4862060066647,-40.08646962972355,-37.0580310909892
4639,16,3,is_iv,-39.125013725575656,-40.776250193213656,-37.672329118588095
4144,17,3,is_iv,-40.42557922679612,-42.32559852643439,-39.02841276151335
3746,18,3,is_iv,-40.78784731512462,-42.67570735428703,-39.19368599151019
3376,19,3,is_iv,-41.507558082726746,-43.716507794362514,-39.71819977978291
3047,20,3,is_iv,-42.644748268686044,-44.48399574371081,-40.90478153808209
2752,21,3,is_iv,-43.51937672866984,-46.15306583131411,-41.43755390472768
2482,22,3,is_iv,-44.759047648109544,-46.88614742059062,-42.47527721474643
2258,23,3,is_iv,-45.24995403113891,-47.54756016160303,-43.1446890339615
2068,24,3,is_iv,-46.35568005188594,-49.058462541474455,-43.3698589043247
1853,25,3,is_iv,-46.9779939467258,-49.43545857571158,-44.10800880810953
1673,26,3,is_iv,-47.770261462408854,-51.07212799793507,-45.421443204614434
1511,27,3,is_iv,-49.4875141642774,-53.05254485461606,-47.1589362535089
1366,28,3,is_iv,-50.29915481691651,-53.31942365430481,-47.10479738433452
1235,29,3,is_iv,-50.137903193869306,-53.52716247762993,-46.81542967234361
1115,30,3,is_iv,-51.588704259911424,-54.84291102149794,-48.31039421714016
1023,31,3,is_iv,-51.91276661451039,-55.530251726204,-48.85525127780434
919,32,3,is_iv,-51.56372968561797,-55.7452943327682,-47.79445692592415
829,33,3,is_iv,-52.999082153937195,-57.79827101151699,-49.70028940437041
750,34,3,is_iv,-53.67650889769956,-58.986366403299115,-50.38417643657962
675,35,3,is_iv,-54.360293499840594,-58.33904134417773,-50.70196791763894
606,36,3,is_iv,-56.607952671151736,-61.373251199310715,-53.28755945429114
551,37,3,is_iv,-57.050760905523106,-63.198449558542535,-52.64589490292806
504,38,3,is_iv,-59.56348665575575,-64.95985772279676,-55.60853855693216
452,39,3,is_iv,-59.47857947551239,-65.31037319028144,-55.02284347953491
407,40,3,is_iv,-59.507447950050135,-64.05577293886932,-54.67724492701842
11279,5,4,is_iv,-26.937845046280557,-31.335514217019323,-23.1625477344528
11094,6,4,is_iv,-27.030180453402892,-30.571149300512133,-23.76167054767751
10800,7,4,is_iv,-28.379662226113567,-30.917857112832763,-26.482383828103025
10295,8,4,is_iv,-28.741059530774237,-30.40433775292044,-26.60538037218484
9595,9,4,is_iv,-29.598280149817583,-31.23437192425851,-28.06963353805577
8780,10,4,is_iv,-30.391783140699033,-31.812455254095312,-29.005138172056093
7905,11,4,is_iv,-32.100243081084955,-33.45813650638078,-30.948989434493996
7130,12,4,is_iv,-33.12164387859997,-34.47497055482438,-32.118425009230634
6374,13,4,is_iv,-34.23905016509363,-35.71267270282627,-33.01353918468797
5712,14,4,is_iv,-35.425057156636655,-36.9244028586767,-34.331993673015944
5106,15,4,is_iv,-37.02451462059247,-38.17059209139444,-36.06331931354765
4589,16,4,is_iv,-37.81657106250492,-39.299898107541054,-36.473809496969835
4155,17,4,is_iv,-38.60094480731007,-40.190630461991816,-37.1463018593484
3767,18,4,is_iv,-39.67139722881075,-41.18106621573838,-38.05987574797342
3396,19,4,is_iv,-39.89497940946751,-41.934692297792594,-38.482470518937504
3073,20,4,is_iv,-41.18704946397668,-42.79321811571418,-39.44069296869358
2772,21,4,is_iv,-42.45987262143609,-44.56403890060224,-40.65656678118853
2521,22,4,is_iv,-42.813828440934316,-44.42959969286895,-40.73157897224445
2262,23,4,is_iv,-43.34624288924684,-45.25937314844006,-41.35635986384713
2029,24,4,is_iv,-43.82624688614723,-46.49523048399479,-41.74711117402677
1811,25,4,is_iv,-44.77295226451625,-47.06690175194808,-42.57684908586444
1626,26,4,is_iv,-46.520903249573905,-49.113051867387924,-43.957951010999494
1497,27,4,is_iv,-47.85762410819808,-50.32324602810232,-44.93854193549478
1358,28,4,is_iv,-49.00784712099684,-51.71322270508898,-46.81507424823059
1218,29,4,is_iv,-48.24681092054712,-51.92180390612151,-45.2055053987082
1106,30,4,is_iv,-48.87826603067049,-52.480783918047734,-45.94723445532088
1011,31,4,is_iv,-50.206674085962874,-53.08257396583991,-47.88170384956936
918,32,4,is_iv,-51.815228319850206,-54.91245305998643,-48.17360456476456
836,33,4,is_iv,-51.99300319119709,-55.663047921440466,-48.90708705725277
765,34,4,is_iv,-51.75312168346392,-56.47814874708723,-48.348428224835885
700,35,4,is_iv,-51.41864437534025,-55.80527582316742,-47.064760950617625
641,36,4,is_iv,-50.098406507953,-54.14454367598117,-45.394360786019035
576,37,4,is_iv,-49.97785814951189,-53.9476303772895,-45.817972225647196
513,38,4,is_iv,-51.53198527619767,-55.4916221862222,-47.15840196972769
455,39,4,is_iv,-52.64904435048382,-57.83714642488792,-47.874699871109584
419,40,4,is_iv,-53.49072008948909,-57.94989778594834,-49.46669703550117
10289,5,5,is_iv,-26.598007263879538,-31.436824816938184,-23.223886720264773
10122,6,5,is_iv,-25.55802359114628,-28.753094249827626,-22.72530917736745
9858,7,5,is_iv,-26.515705756392094,-28.762033777750048,-24.43552036688473
9440,8,5,is_iv,-27.001918497751717,-28.63626506074496,-25.281157726447674
8837,9,5,is_iv,-28.982501874826397,-30.405301375360267,-26.877383428469898
8184,10,5,is_iv,-30.120576442820834,-31.721734579771407,-28.88955333786285
7455,11,5,is_iv,-30.69198734541746,-31.843830798880617,-29.184506994318923
6770,12,5,is_iv,-32.45444608819096,-33.68031386580091,-30.829630707707707
6121,13,5,is_iv,-33.38031381520432,-34.38728022389492,-31.717244541156617
5529,14,5,is_iv,-34.09899673496301,-35.72565074338962,-32.8562677443127
5008,15,5,is_iv,-34.68180113753243,-36.14553808265816,-33.29217954378191
4489,16,5,is_iv,-36.376000685481785,-37.822267556915904,-35.221305241058076
4041,17,5,is_iv,-37.62843775915027,-39.096090571422565,-36.48654032881396
3671,18,5,is_iv,-38.22811301917639,-39.97325639575507,-36.5793138793494
3334,19,5,is_iv,-38.99298546175268,-40.533163852217996,-37.223509011632814
3043,20,5,is_iv,-39.75369781421415,-41.43581177302798,-37.91380973465476
2764,21,5,is_iv,-40.748233965722335,-42.32882704116989,-39.16509862546707
2499,22,5,is_iv,-41.39229866508995,-43.32218573805429,-39.49959057835983
2267,23,5,is_iv,-41.879678603728905,-44.01320179757411,-40.18679360569658
2058,24,5,is_iv,-42.59389454814064,-44.823657648205,-40.25855755446551
1847,25,5,is_iv,-43.71271478332298,-45.61886699265668,-41.50762027095317
1670,26,5,is_iv,-44.47592195421038,-47.15107805024789,-41.825357799757
1519,27,5,is_iv,-45.09533420647563,-47.89923465836364,-42.612960558752064
1382,28,5,is_iv,-45.76106577359306,-49.0036218774226,-43.34108700625387
1264,29,5,is_iv,-46.16882480458497,-49.17873223523952,-44.0564668771257
1149,30,5,is_iv,-46.514466294689186,-49.98466605387267,-43.685259627345886
1038,31,5,is_iv,-47.15258936909427,-51.603683766725084,-44.62352479837915
948,32,5,is_iv,-47.801431759765535,-50.82323919119548,-43.83579898173582
859,33,5,is_iv,-47.98211031426797,-52.27722430197315,-44.42726390163361
781,34,5,is_iv,-47.53418484953963,-52.52475419713102,-43.85081334027544
709,35,5,is_iv,-48.33944267046408,-52.338720060751484,-44.52387856691104
646,36,5,is_iv,-49.45862715061412,-53.36637892330259,-45.496910261705295
581,37,5,is_iv,-46.343301255365475,-50.356150323854536,-42.110420421633705
535,38,5,is_iv,-46.117473745166194,-52.72955542709829,-41.76714901978477
480,39,5,is_iv,-45.340035224107936,-50.13468408912303,-39.119399544038515
426,40,5,is_iv,-47.468825960985015,-53.18586931794056,-42.47942788050588
9382,5,6,is_iv,-26.822212242199186,-29.779183637854345,-23.606785971076363
9222,6,6,is_iv,-27.811307624893516,-30.920618501109573,-24.902735754086166
9006,7,6,is_iv,-28.774723087691598,-31.016117416410566,-26.34212196847318
8642,8,6,is_iv,-29.76477029046424,-31.834674638315562,-28.02648376733694
8180,9,6,is_iv,-30.616046978111,-32.51216401118032,-28.749471571074224
7558,10,6,is_iv,-31.198897791130037,-32.87681878105971,-29.76007231193742
6929,11,6,is_iv,-31.060383979824223,-32.369560525891956,-29.449613879749876
6343,12,6,is_iv,-32.15603839232901,-33.67862971508907,-30.571996951946318
5760,13,6,is_iv,-32.74078241325688,-34.28240252593895,-31.4825634271439
5246,14,6,is_iv,-33.58736603717966,-35.163265295889545,-31.896389500301723
4747,15,6,is_iv,-35.096529790899666,-36.9081861641329,-34.129946922897346
4293,16,6,is_iv,-36.98788339296675,-38.36280649918481,-35.586884309317725
3880,17,6,is_iv,-38.10926292459317,-39.361332692704394,-36.468131761891925
3516,18,6,is_iv,-38.96232072377978,-41.054842377179654,-37.57133754281864
3207,19,6,is_iv,-39.79756524851973,-41.39102170513027,-38.13199635331662
2957,20,6,is_iv,-40.11904982717269,-41.87211613267439,-38.34674520177086
2677,21,6,is_iv,-41.03322192508563,-42.78655819269926,-38.87372109106127
2413,22,6,is_iv,-42.09005437840244,-43.93869254230154,-40.31708048274652
2182,23,6,is_iv,-42.761343629463255,-44.994060520751674,-40.960720306479004
1998,24,6,is_iv,-43.95890914270069,-46.01242348406316,-41.61204350747755
1815,25,6,is_iv,-44.395936385670126,-46.53969153374831,-42.344990493490144
1631,26,6,is_iv,-44.95838507406273,-47.69059825249428,-42.39023341734864
1493,27,6,is_iv,-46.0357604683999,-48.00768581890219,-43.58448352919265
1377,28,6,is_iv,-46.83247948982137,-50.76181229831087,-44.64709016438255
1243,29,6,is_iv,-47.31880238475537,-50.41783737333381,-45.06294076731936
1142,30,6,is_iv,-47.59923346603455,-50.80247039832551,-45.529244816060924
1035,31,6,is_iv,-47.66627592344031,-50.67763842246342,-44.94813767690488
944,32,6,is_iv,-49.05241632309068,-51.98744007686744,-46.1764874769427
852,33,6,is_iv,-49.778899031584984,-53.76417837681214,-46.630979483224166
766,34,6,is_iv,-49.63363159548035,-53.245896962251265,-46.439505464866556
707,35,6,is_iv,-48.858695433378415,-53.154475875832816,-45.88411812606225
639,36,6,is_iv,-49.7961775994076,-53.38694618729215,-46.09978129923769
596,37,6,is_iv,-48.81489858156135,-53.105011433247654,-46.67645680752051
547,38,6,is_iv,-49.05089316114902,-53.14238329319133,-45.803611725725546
493,39,6,is_iv,-49.134233326692396,-53.476596689223584,-45.0317148785235
447,40,6,is_iv,-51.26501015357769,-57.22711340227397,-47.86470958895816
8493,5,7,is_iv,-29.137711443485443,-33.754400037445066,-24.85053399515371
8343,6,7,is_iv,-29.438420756290895,-32.88567796819714,-26.487037177465538
8173,7,7,is_iv,-30.452308273514348,-33.860099997877484,-27.095320828752534
7869,8,7,is_iv,-30.761064387095246,-33.18310611543072,-28.328747729792354
7452,9,7,is_iv,-31.91667198521506,-33.95382562120378,-30.093065279982056
6963,10,7,is_iv,-33.081254973783274,-35.13533660882564,-30.898196532482842
6417,11,7,is_iv,-33.0699995171544,-34.5757910715632,-31.876363212890993
5897,12,7,is_iv,-33.46553618666013,-35.078611662661814,-31.730854950431223
5399,13,7,is_iv,-34.63962468317533,-36.105316366218005,-33.09290417999483
4903,14,7,is_iv,-35.04471268602765,-36.88952920734724,-33.335892486286554
4485,15,7,is_iv,-34.981337271274896,-36.53087063951395,-33.51697059596651
4079,16,7,is_iv,-36.38563023691168,-37.75138635100737,-34.713152321340885
3703,17,7,is_iv,-36.732868112461745,-38.21796018703003,-35.25605648388725
3370,18,7,is_iv,-37.644469729553265,-39.093601707545474,-35.99363192889447
3054,19,7,is_iv,-39.03933616354695,-41.27749127443917,-37.45545824005805
2821,20,7,is_iv,-39.29530695116276,-40.84605223755685,-37.60732479523844
2548,21,7,is_iv,-40.029678931327965,-41.92891709448173,-38.52623120438966
2347,22,7,is_iv,-39.91639032362775,-41.81702795480447,-38.11000662544177
2137,23,7,is_iv,-41.26284825304052,-43.351109777574635,-39.00774401183273
1951,24,7,is_iv,-41.75355303456843,-43.68505610901707,-39.50311420109483
1772,25,7,is_iv,-42.95474606370075,-45.17372586949136,-40.89945416121654
1599,26,7,is_iv,-42.34219265433029,-44.75273623307356,-40.124922309480695
1448,27,7,is_iv,-43.435341761464514,-45.63457929200507,-41.258547970858444
1304,28,7,is_iv,-43.19959314421189,-46.04845433383181,-40.80570778063836
1174,29,7,is_iv,-43.8425203413434,-47.89993972301315,-41.285919630280546
1059,30,7,is_iv,-44.949777220261296,-47.44010323254375,-42.15082445350703
965,31,7,is_iv,-44.80516606616098,-47.853808188074396,-41.77620405992084
894,32,7,is_iv,-46.12063679343788,-50.00888803573383,-43.004505943918105
812,33,7,is_iv,-46.53416464542937,-49.82823109189479,-42.40704298389923
748,34,7,is_iv,-45.49698605727559,-49.14720608500423,-41.370765189359645
692,35,7,is_iv,-47.7117739728817,-51.63772316830733,-43.3343759620669
632,36,7,is_iv,-47.71282731361018,-51.840174618949334,-43.2331882510307
568,37,7,is_iv,-48.492898310806055,-53.42594588263211,-44.673343399565596
514,38,7,is_iv,-47.69627547636392,-52.30960220182794,-42.72609544026659
459,39,7,is_iv,-49.973881066136755,-55.477290482175874,-45.59987262124892
413,40,7,is_iv,-52.53449705910103,-58.44948294927241,-46.967211094959055
7804,5,8,is_iv,-31.385850855029446,-35.57435996761646,-27.06337034277277
7648,6,8,is_iv,-32.96544050891558,-36.81968288353352,-29.597405791744364
7472,7,8,is_iv,-33.19129777651739,-35.87849839077464,-30.437187626298225
7206,8,8,is_iv,-33.065241030963136,-35.777373054704555,-31.001859353371117
6832,9,8,is_iv,-33.73048112133847,-35.94648612979552,-32.1911576527082
6442,10,8,is_iv,-33.877985174715036,-35.52915801800444,-31.737201243880747
5973,11,8,is_iv,-34.28116167348068,-35.72010581314018,-32.56068274195019
5520,12,8,is_iv,-34.47853204579454,-36.217467106555205,-32.91538176386348
5092,13,8,is_iv,-34.82602412913684,-36.591870913102355,-33.01029611871854
4670,14,8,is_iv,-35.15857145425659,-36.42957720151131,-33.168090292904054
4275,15,8,is_iv,-35.442821367262155,-37.01060554336914,-33.863560756179595
3870,16,8,is_iv,-36.18358645955627,-37.792331818088854,-34.75035354661614
3522,17,8,is_iv,-36.56756207381156,-38.279226859134354,-34.88566814487723
3223,18,8,is_iv,-37.00388565480014,-39.02010047128445,-35.444943285103506
2967,19,8,is_iv,-38.36322581874418,-40.2067487707032,-36.829440026059615
2720,20,8,is_iv,-38.4640952311392,-40.50269270720804,-36.78831586154527
2470,21,8,is_iv,-39.129582483717144,-40.999489218561735,-37.35152328447623
2253,22,8,is_iv,-39.25189837365764,-41.46525684948523,-37.61006662507373
2053,23,8,is_iv,-40.32308106500926,-42.325573617549225,-38.19615084592863
1878,24,8,is_iv,-40.77994394385772,-42.76263727680677,-39.05477378219729
1735,25,8,is_iv,-40.56549217309313,-43.3422827759768,-38.485295755123815
1552,26,8,is_iv,-41.89592265598023,-44.19569611838884,-40.02989449730438
1422,27,8,is_iv,-42.44292885220983,-45.03657215912142,-40.18346827469293
1301,28,8,is_iv,-43.63841449311488,-46.364271849741414,-40.44804830506027
1197,29,8,is_iv,-44.89746128229319,-47.49259115687619,-42.05925426855154
1082,30,8,is_iv,-45.27730974416042,-48.49975086017878,-42.31105559584921
1005,31,8,is_iv,-45.19051207885599,-48.09950252955147,-42.707057725146655
904,32,8,is_iv,-46.27102828425731,-49.32794049994817,-42.66829111875751
817,33,8,is_iv,-45.91961860247753,-49.592093541601116,-42.352237286953084
750,34,8,is_iv,-46.62392564801834,-50.157204590335226,-43.10582102180382
688,35,8,is_iv,-46.32688809673306,-50.227744878734285,-42.03783456385614
617,36,8,is_iv,-48.20464923036914,-52.26382659966961,-43.746069805736596
557,37,8,is_iv,-49.10373515288367,-52.43343218085141,-44.14164453055312
510,38,8,is_iv,-49.609575888565615,-54.57496199021381,-45.13267800589878
468,39,8,is_iv,-48.741156853373155,-54.37607883444903,-43.556701952128265
428,40,8,is_iv,-48.800333987070076,-54.99513553450885,-43.98190619204209
7232,5,9,is_iv,-31.901259902157676,-36.22743644959502,-27.899074146555932
7127,6,9,is_iv,-32.17650098093276,-35.6336776617633,-27.81227447165128
6963,7,9,is_iv,-32.485139935480674,-36.207965961703025,-29.826736533128155
6731,8,9,is_iv,-33.472195335339705,-35.819690693561114,-30.043398359343144
6427,9,9,is_iv,-32.92121288168107,-36.34304199554492,-30.42404429855347
6046,10,9,is_iv,-32.95956467349876,-35.11323649372511,-31.282459106175793
5656,11,9,is_iv,-33.98742413816723,-35.93954622162488,-31.98937988213956
5258,12,9,is_iv,-33.833860756347434,-35.319455185011236,-32.13187932678301
4829,13,9,is_iv,-34.29693766807938,-36.034987995173395,-32.07344929963239
4466,14,9,is_iv,-34.29984985020431,-35.806695467647955,-32.5169998214883
4098,15,9,is_iv,-34.442615367755565,-36.032177261775615,-32.40354733973621
3771,16,9,is_iv,-34.519339890309595,-36.26647682305594,-32.695461731624874
3430,17,9,is_iv,-35.211594210149315,-36.95595481468777,-33.64370114943975
3119,18,9,is_iv,-35.64002121618651,-37.518088143709576,-33.979836358207166
2873,19,9,is_iv,-36.8619639280015,-38.516790976533684,-34.86589385773365
2634,20,9,is_iv,-37.812505339199305,-39.620666332001605,-35.95735597474584
2408,21,9,is_iv,-38.4519688255113,-40.54765088608568,-36.60395639107699
2199,22,9,is_iv,-38.76451226208982,-41.26378417130189,-36.918392158339344
2021,23,9,is_iv,-39.27662404637957,-41.64775582009864,-36.83022094222753
1850,24,9,is_iv,-40.38865652042648,-42.58273059767089,-38.2724941463166
1682,25,9,is_iv,-40.670202203881985,-42.944945498421504,-38.1762172229426
1542,26,9,is_iv,-40.60487831583072,-42.84584097370566,-38.45756864509434
1396,27,9,is_iv,-41.15198398616894,-43.348480085866385,-38.596482801671726
1267,28,9,is_iv,-42.096411504263386,-45.0165004205397,-39.581837984818065
1162,29,9,is_iv,-43.214624685741654,-46.01934680503106,-39.94680089698144
1057,30,9,is_iv,-43.208227226710505,-45.668923529411416,-40.83169546614167
981,31,9,is_iv,-43.33171884907222,-46.64993760402842,-40.67333258605038
902,32,9,is_iv,-43.71200040062786,-47.11654853713361,-40.28722088033547
826,33,9,is_iv,-43.71240513391854,-47.14195792399471,-40.044051506877736
754,34,9,is_iv,-43.7436581097852,-48.04494189576155,-40.70476633038945
689,35,9,is_iv,-43.35149823851452,-48.5687039460112,-39.91169983429177
624,36,9,is_iv,-44.9018713042519,-49.17517490289646,-41.21930947274683
575,37,9,is_iv,-45.94473642899703,-50.85933447639823,-41.985714035484364
540,38,9,is_iv,-46.07167318068346,-50.93450165629943,-42.2132582041514
489,39,9,is_iv,-46.733830384360004,-51.655876777373436,-41.28338364215875
438,40,9,is_iv,-48.49022040126442,-53.43821784247035,-44.40666644388489
6801,5,10,is_iv,-37.51496278253222,-42.6680889163315,-31.373679479939995
6670,6,10,is_iv,-36.7126446137425,-40.81042607251891,-32.28361794342365
6501,7,10,is_iv,-34.9525790336383,-38.739195299879725,-31.75662045269351
6285,8,10,is_iv,-34.73694226139676,-38.05999033273213,-31.334123778610916
6032,9,10,is_iv,-33.951076141321295,-36.647470846312615,-31.025185671594556
5691,10,10,is_iv,-34.14216035506706,-36.82662674812221,-32.060223287880916
5333,11,10,is_iv,-33.93253529198981,-35.83639135595496,-31.63979705934662
4984,12,10,is_iv,-34.630464110338494,-36.66557377921518,-32.813940797707914
4587,13,10,is_iv,-34.821966702846424,-36.75866728423165,-32.91906407723397
4257,14,10,is_iv,-35.21030366378824,-37.22486919427848,-33.18322710487888
3910,15,10,is_iv,-34.457585832325236,-36.324778197688886,-32.93621071921666
3579,16,10,is_iv,-35.30319065707536,-37.10213196213422,-33.57164145255504
3270,17,10,is_iv,-35.96270179762064,-37.704970270517464,-34.00313416649186
2991,18,10,is_iv,-36.743814868080534,-39.18029997849928,-34.90861431559608
2729,19,10,is_iv,-37.33585167229987,-39.480797357323354,-35.596820480541226
2510,20,10,is_iv,-37.78661206091613,-39.752697244344404,-35.54309350476879
2282,21,10,is_iv,-38.12487201565273,-40.36659030298324,-36.162545471364325
2087,22,10,is_iv,-38.05250790125973,-40.09091987051869,-35.81898493711671
1919,23,10,is_iv,-38.36850060568716,-40.59250863514595,-36.01564493276729
1758,24,10,is_iv,-39.69634821925581,-41.678943147217126,-37.66067474577767
1596,25,10,is_iv,-40.301443136989434,-42.96925096085087,-38.275863508432224
1481,26,10,is_iv,-40.102690743706944,-42.69514479785653,-38.12834702433992
1360,27,10,is_iv,-39.647789573583225,-42.49117466259139,-37.12557439285956
1233,28,10,is_iv,-40.56016116074085,-43.18391503996156,-37.87612379544632
1126,29,10,is_iv,-42.15432037032676,-46.13519440327619,-39.47702450126059
1035,30,10,is_iv,-42.866114511269956,-45.51756082509047,-39.55610053020817
955,31,10,is_iv,-42.90340582243729,-46.09196823018067,-40.03268040798616
876,32,10,is_iv,-43.331590482647556,-46.968841230490995,-40.507753353619336
787,33,10,is_iv,-42.527309482956525,-45.88221314417319,-40.09302258396826
714,34,10,is_iv,-40.994386295543876,-44.728158504811034,-37.38147108747398
657,35,10,is_iv,-42.38913782309115,-46.59585270673634,-39.21151293633284
599,36,10,is_iv,-44.82817226476894,-48.8666715133792,-40.66309587537796
555,37,10,is_iv,-44.38939728469401,-48.795283821158904,-40.075285581919616
503,38,10,is_iv,-45.28036881243179,-50.53252365518915,-40.49519092199307
460,39,10,is_iv,-45.85889391169479,-52.329825449414926,-41.367081981318194
